Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2850799.5	27.71231475755742
ackermann	wasmtime_app	2.9618241140940986	9086475.5	14.810046137976173
base64	base_native	1	249503897	0.024693882317629492
base64	wasmtime_app	1.439769338958536	359271575	2.5678729886966627
ctype	base_native	1	654794147.5	0.10735408813445288
ctype	wasmtime_app	1.5051525517796416	985565082	0
ed25519	base_native	1	1433078153	0
ed25519	wasmtime_app	4.724689575251658	6770849410	0
fib2	base_native	1	6955978285	0
fib2	wasmtime_app	1.5378574208703126	10697302825	0
gimli	base_native	1	4150775.5	0.17524835088786075
gimli	wasmtime_app	2.2850426820174943	9338023.5	4.916602821691185
heapsort	base_native	1	1076364720	0
heapsort	wasmtime_app	1.1336814133038473	1220254677	0
keccak	base_native	1	7486872.5	0.08965322065090352
keccak	wasmtime_app	3.062806177564404	21366080	21.953511700275246
matrix	base_native	1	377891975	0.005865798916908963
matrix	wasmtime_app	1.4132524870368046	534056773.5	0.9648803467693144
matrix2	base_native	1	194283258	0.021715094405621437
matrix2	wasmtime_app	1.3390993121235089	257629797	1.71018848227657
memmove	base_native	1	47349199.5	0.04528058423467783
memmove	wasmtime_app	10.989152208063386	520338739.5	1.2755556950902727
minicsv	base_native	1	753385813	0
minicsv	wasmtime_app	1.4612628602816549	1100894708	0
nestedloop	base_native	1	1587409	1.4179931005663795
nestedloop	wasmtime_app	3.9593478921172984	6185280.5	4.708027123458466
nestedloop2	base_native	1	1593009	0.84380665130504
nestedloop2	wasmtime_app	3.950111545930539	6177218.5	4.182346736902652
nestedloop3	base_native	1	2094605	1.2322836917994253
nestedloop3	wasmtime_app	3.2626635123936283	6736986	5.597153060233899
random	base_native	1	577585225	0.00215761230935776
random	wasmtime_app	0.5032553288275913	290396433	0.17332633457403654
random2	base_native	1	577672632.5	0.02331702352914291
random2	wasmtime_app	0.5031621890679291	290354611	0.184193449118793
ratelimit	base_native	1	25921359	0.0681362780852713
ratelimit	wasmtime_app	1.505778001665078	38323877.5	5.864357348038231
seqhash	base_native	1	7115573609	0
seqhash	wasmtime_app	1.3613690238194822	9686921498	0
sieve	base_native	1	569168567.5	0.007149353681928728
sieve	wasmtime_app	1.347227408161467	766799494	0
strcat	base_native	1	65840232.5	0.07519654979091886
strcat	wasmtime_app	5.332681362790791	351186566	1.6108061661064323
strcat2	base_native	1	2585977	0.4275615521687361
strcat2	wasmtime_app	3.6214959359238623	8469724	30.664083124769075
strchr	base_native	1	154786998	0.10335713686650341
strchr	wasmtime_app	2.6294184782499057	406929328	1.6004925248730482
strlen	base_native	1	49413606.5	0.8996995677904578
strlen	wasmtime_app	4.444522396345853	217503510.5	1.843839018606842
strtok	base_native	1	374272519	0.010376321173697384
strtok	wasmtime_app	3.262448868173514	1221044956	0
switch	base_native	1	52337152.5	0.04390935161091074
switch	wasmtime_app	1.207212495782496	59167526	20.088527820220126
switch2	base_native	1	1452614164	0
switch2	wasmtime_app	0.20183039419498136	268576691	14.551317800133104
xblabla20	base_native	1	3051625	0.5123685085764736
xblabla20	wasmtime_app	4.329335700734381	9723976.5	84.24686096148834
xchacha20	base_native	1	4185748.5	0.29704497843595307
xchacha20	wasmtime_app	2.638952815743554	10076206.5	28.207586543874015
