Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2872593	30.990562535919157
ackermann	wasmtime_app	2.8429882921252045	8679820.5	16.815430975142792
base64	base_native	1	253430123	0.17646038159163352
base64	wasmtime_app	1.418159833210629	359094831	2.4663475527714103
ctype	base_native	1	653999444.5	0.06373859452279514
ctype	wasmtime_app	1.5111864303731837	988315086	0
ed25519	base_native	1	1433362193	0
ed25519	wasmtime_app	4.69300683166547	6726778564	0
fib2	base_native	1	6956426387	0
fib2	wasmtime_app	1.5419248574303932	10726286765	0
gimli	base_native	1	4144318.5	0.33401469501261505
gimli	wasmtime_app	2.289927880041563	9351897.5	4.92448675414818
heapsort	base_native	1	1076667366	0
heapsort	wasmtime_app	1.1335138507393006	1220417372	0
keccak	base_native	1	7489871.5	0.12155070982100526
keccak	wasmtime_app	3.0605061140857996	21353820	21.89656578669209
matrix	base_native	1	377899604	0.0006549024418011606
matrix	wasmtime_app	1.41189317044111	533553870	1.1149504108837551
matrix2	base_native	1	194275613.5	0.006197676464776792
matrix2	wasmtime_app	1.33933826652592	257661374	1.694297405739931
memmove	base_native	1	47337766	0.03382497701897515
memmove	wasmtime_app	11.006917675476737	521061823	1.2779008449046687
minicsv	base_native	1	723969580	0
minicsv	wasmtime_app	1.5418606663003713	1116260219	0
nestedloop	base_native	1	1567607	1.0995551906923924
nestedloop	wasmtime_app	3.984022866694969	6150178	4.674704822888364
nestedloop2	base_native	1	1573632	0.9001685182875578
nestedloop2	wasmtime_app	3.993950593795884	6175051.5	4.250596846800031
nestedloop3	base_native	1	2073403	0.7461524843863053
nestedloop3	wasmtime_app	3.274306489759647	6687262.5	5.744556305092229
random	base_native	1	577644259	0.0005018898323137052
random	wasmtime_app	0.5032275634544132	290405661	0.17983493589964622
random2	base_native	1	577671557.5	0.02018370867370097
random2	wasmtime_app	0.5031640428883905	290380563	0.17544854518965106
ratelimit	base_native	1	25917688.5	0.06007170071171406
ratelimit	wasmtime_app	1.5053810864437585	38300883.5	5.852736290451289
seqhash	base_native	1	7108845349	0
seqhash	wasmtime_app	1.361994310561559	9682206920	0
sieve	base_native	1	569219829.5	0.002968825766035141
sieve	wasmtime_app	1.3478577330553099	767227349	0
strcat	base_native	1	65843028	0.05583561426385352
strcat	wasmtime_app	5.333492406122542	351217968.5	1.6224578609133358
strcat2	base_native	1	2584273	0.42850285279965
strcat2	wasmtime_app	3.615740753972703	8443383	31.08960351486675
strchr	base_native	1	154901316	0.1690290279161512
strchr	wasmtime_app	2.627130405552838	406713878	1.536585705802375
strlen	base_native	1	47749791.5	0.878175637785939
strlen	wasmtime_app	4.605600142074443	217062209.5	1.8975325132049634
strtok	base_native	1	374213683.5	0.007317021556184404
strtok	wasmtime_app	3.2644371086980843	1221597035	0
switch	base_native	1	52338559.5	0.05190909350170037
switch	wasmtime_app	1.207381133999274	59198866	20.01284528514296
switch2	base_native	1	1452741128	0
switch2	wasmtime_app	0.20151936663556758	268557604	14.331910446371129
xblabla20	base_native	1	3048745	0.3286027612708771
xblabla20	wasmtime_app	4.3296762758950145	9679205.5	84.31218744136972
xchacha20	base_native	1	4184216	0.21018576669415073
xchacha20	wasmtime_app	2.635802934669831	10030575	28.790829040329093
