Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	3080810.5	30.385105953184336
ackermann	wasmtime_app	2.737981690352338	9021209.5	14.786658654195046
base64	base_native	1	270288717	1.4920162100301726
base64	wasmtime_app	1.3820813653350332	370508559	2.560176979624879
ctype	base_native	1	673748968	0
ctype	wasmtime_app	1.324113290515645	892119963	0
ed25519	base_native	1	1435125059	0
ed25519	wasmtime_app	4.697439526069902	6741413177	0
fib2	base_native	1	6956841476	0
fib2	wasmtime_app	1.535316393487992	10680952765	0
gimli	base_native	1	4143149.5	0.22121774216575998
gimli	wasmtime_app	2.3022215440779807	9374531.5	5.814972718510692
heapsort	base_native	1	1077062728	0
heapsort	wasmtime_app	1.1337726292576713	1221144241	0
keccak	base_native	1	7488332.5	0.13238410512447665
keccak	wasmtime_app	3.054506840974846	21338327	21.667099566224547
matrix	base_native	1	377945589.5	0.002600394719439324
matrix	wasmtime_app	1.4124623076200762	533833899.5	1.1512372763798546
matrix2	base_native	1	194314875.5	0.00763510808295343
matrix2	wasmtime_app	1.3393495318835185	257683911	1.7086640447122268
memmove	base_native	1	47332121.5	0.024091996381106144
memmove	wasmtime_app	11.00743624443795	521024515.5	1.1816676285905952
minicsv	base_native	1	720208953	0
minicsv	wasmtime_app	1.5328503629418224	1103972555	0
nestedloop	base_native	1	1578959	1.1162521263485594
nestedloop	wasmtime_app	3.9781078751272996	6197381.5	4.727878297461857
nestedloop2	base_native	1	1587083	0.795819499799559
nestedloop2	wasmtime_app	3.959779707815676	6177120	4.3967237790900855
nestedloop3	base_native	1	2088355	0.4463857349338913
nestedloop3	wasmtime_app	3.27131220569421	6711484.5	5.654043118291203
random	base_native	1	577691629.5	0.0037576225735577885
random	wasmtime_app	0.5037329279842023	290630087	0.2370988775104781
random2	base_native	1	577719515.5	0.013729060281141542
random2	wasmtime_app	0.5033348753705609	290605788	0.15575569627732516
ratelimit	base_native	1	25950336	0.15107760790679145
ratelimit	wasmtime_app	1.5044966196497138	38330243	5.87809586518552
seqhash	base_native	1	7128975300	0
seqhash	wasmtime_app	1.3595328749420692	9692076285	0
sieve	base_native	1	569292674	0.014373095991280031
sieve	wasmtime_app	1.3483426540633825	767601595	0
strcat	base_native	1	65887194	0.060416425315964424
strcat	wasmtime_app	5.266185120797054	347026149	2.2355678676033883
strcat2	base_native	1	2600200	0.6049136354655635
strcat2	wasmtime_app	3.609019706756821	8485770	30.820154585190966
strchr	base_native	1	155221894	0.04235082393682132
strchr	wasmtime_app	2.620770814744078	406769129.5	1.5264522342284155
strlen	base_native	1	48240481.5	0.19711135787873096
strlen	wasmtime_app	4.544191474205017	217215435	1.8816586027274929
strtok	base_native	1	374419392.5	0.003229218115754722
strtok	wasmtime_app	3.264206583530526	1222182246	0
switch	base_native	1	52366107.5	0.042423707336605276
switch	wasmtime_app	1.2074304989322975	59196541	20.153490448352617
switch2	base_native	1	1453398436	0
switch2	wasmtime_app	0.2009308109186195	268641687	13.883838043605737
xblabla20	base_native	1	3041350	0.4933439348321373
xblabla20	wasmtime_app	4.365327968073164	9752790.5	84.61447370579397
xchacha20	base_native	1	4187446.5	0.35810757592886094
xchacha20	wasmtime_app	2.648868429071658	10098150.5	28.387359427218804
