Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2841894	32.505614667117776
ackermann	wasmtime_app	2.8176420319392737	8651894.5	15.008207550969827
base64	base_native	1	249499146	0.018783526091486834
base64	wasmtime_app	1.4231819765606095	355109287.5	1.8614595983988764
ctype	base_native	1	654951780	0.07862958533194041
ctype	wasmtime_app	1.4642371442978597	959004724	0
ed25519	base_native	1	1433516174	0
ed25519	wasmtime_app	4.706248775118459	6746483738	0
fib2	base_native	1	6956002894	0
fib2	wasmtime_app	1.538449623882517	10701460036	0
gimli	base_native	1	4150879.5	0.27941338005098465
gimli	wasmtime_app	2.2951346258087244	9379217	4.831246243709393
heapsort	base_native	1	1076371752	0
heapsort	wasmtime_app	1.1340619128399423	1220672208	0
keccak	base_native	1	7490840	0.12021828584866032
keccak	wasmtime_app	3.070511468599661	21456772	21.65057444770577
matrix	base_native	1	377891359	0.005790960852365315
matrix	wasmtime_app	1.4120015880013812	533583199	1.0997857723026518
matrix2	base_native	1	194274179	0.014091212776589052
matrix2	wasmtime_app	1.3399295962597455	257761925	1.711805515577158
memmove	base_native	1	47350427.5	0.39894312711770674
memmove	wasmtime_app	10.967681787185176	519959817.5	1.5790276846432154
minicsv	base_native	1	728497900	0
minicsv	wasmtime_app	1.5137983884373585	1102798947	0
nestedloop	base_native	1	1592266	1.0114816810726257
nestedloop	wasmtime_app	3.968260236834431	6202505	4.802850080524049
nestedloop2	base_native	1	1593866	17.689519216077798
nestedloop2	wasmtime_app	3.7340742849081563	6210692.5	4.310782806803643
nestedloop3	base_native	1	2104456	0.8279314671096812
nestedloop3	wasmtime_app	3.2643802057560904	6752250	5.464903528077437
random	base_native	1	577612980.5	0.000737573167583783
random	wasmtime_app	0.5032690275560731	290406664	0.17282020149423433
random2	base_native	1	577718736	0.03511307159454783
random2	wasmtime_app	0.5032064986262335	290409014	0.18073992652715368
ratelimit	base_native	1	25917961	0.0721645314221456
ratelimit	wasmtime_app	1.5065419376055331	38319673.5	5.910858233606034
seqhash	base_native	1	7134098874	0
seqhash	wasmtime_app	1.3580670623040765	9688584700	0
sieve	base_native	1	569275685.5	0.002546214826444232
sieve	wasmtime_app	1.347649538775181	767184115	0
strcat	base_native	1	65857218	0.03998030897573549
strcat	wasmtime_app	5.341613848010209	351793121	1.8304172710105149
strcat2	base_native	1	2594623	0.5695038040129116
strcat2	wasmtime_app	3.6311118694321656	8495903	31.059308832686256
strchr	base_native	1	155147392	0.02599561945488001
strchr	wasmtime_app	2.6217801606876434	406710000	1.5252820588151919
strlen	base_native	1	49114782.5	0.5269951540338015
strlen	wasmtime_app	4.46488210677924	217128341.5	1.8886542605465966
strtok	base_native	1	374254519	0.016157926987402267
strtok	wasmtime_app	3.26261781758205	1221049462	0
switch	base_native	1	52330188.5	0.07942984878469653
switch	wasmtime_app	1.2093449112970922	59211527.5	20.271037526001766
switch2	base_native	1	1452656496	0
switch2	wasmtime_app	0.20134253473231292	268622273	14.134422454126957
xblabla20	base_native	1	3054517	0.4565559254684558
xblabla20	wasmtime_app	4.347243797505711	9769082.5	83.6938798381453
xchacha20	base_native	1	4191839	0.43358862753626987
xchacha20	wasmtime_app	2.6550074363752105	10112988.5	28.717591527802107
