Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2879985.5	31.494054409603773
ackermann	wasmtime_app	2.819279851826496	8675064.5	13.168516620970937
base64	base_native	1	252067182	0.8044945286247199
base64	wasmtime_app	1.4109938587075948	355128475.5	1.84932503316909
ctype	base_native	1	654564220.5	0.03273037651226825
ctype	wasmtime_app	1.5015462993825524	982858483	0
ed25519	base_native	1	1433291189	0
ed25519	wasmtime_app	4.7202581512555435	6765504418	0
fib2	base_native	1	6956111967	0
fib2	wasmtime_app	1.5369600878651297	10691266460	0
gimli	base_native	1	4140001.5	0.2713517701785741
gimli	wasmtime_app	2.294717664320065	9362815	4.885883453088272
heapsort	base_native	1	1076421259	0
heapsort	wasmtime_app	1.1337674147515142	1220411348	0
keccak	base_native	1	7477987.5	0.2026608918765158
keccak	wasmtime_app	3.0631386704299284	21320676.5	21.940748182754607
matrix	base_native	1	377898835	0.004321990680878091
matrix	wasmtime_app	1.4120403599550657	533608407	1.0754431742615262
matrix2	base_native	1	194286164	0.01633942124187303
matrix2	wasmtime_app	1.3392735972162033	257674644	1.6939391345745411
memmove	base_native	1	47332486	0.034266742285859894
memmove	wasmtime_app	11.006333015149004	520972482.5	1.2659024119732012
minicsv	base_native	1	722944011	0
minicsv	wasmtime_app	1.5257140237931925	1103005816	0
nestedloop	base_native	1	1577285	1.090001399097633
nestedloop	wasmtime_app	3.9920034248048957	6197587	4.550959070525319
nestedloop2	base_native	1	1583185	0.9066829289513711
nestedloop2	wasmtime_app	3.9874576102617785	6199012	4.240186984321047
nestedloop3	base_native	1	2087106	1.0019547562470326
nestedloop3	wasmtime_app	3.277818042279726	6744732	5.448808362138175
random	base_native	1	577605066.5	0.0057717574422630445
random	wasmtime_app	0.5032441527819135	290378863	0.1780291476210724
random2	base_native	1	577696598.5	0.026434100907275875
random2	wasmtime_app	0.503212637489677	290411062	0.17734536927795821
ratelimit	base_native	1	25930801.5	0.08063011755580746
ratelimit	wasmtime_app	1.5051071633874475	38308001.5	5.847862071189005
seqhash	base_native	1	7119580907	0
seqhash	wasmtime_app	1.3618855731334973	9696054524	0
sieve	base_native	1	569243266.5	0.012439885154430159
sieve	wasmtime_app	1.3466325912174844	766561535	0
strcat	base_native	1	65853571.5	0.05597194401906899
strcat	wasmtime_app	5.333176592769499	351227125	1.6344960490376343
strcat2	base_native	1	2592377	0.47173785878635555
strcat2	wasmtime_app	3.6262122278232725	8510098.5	30.74189471125343
strchr	base_native	1	155036468	0.0329853715083003
strchr	wasmtime_app	2.622883275765453	406643582.5	1.5297798045028774
strlen	base_native	1	47706452	0.4863370887619979
strlen	wasmtime_app	4.598115835647143	217032507	1.8960850004186638
strtok	base_native	1	374226518.5	0.01015557858399962
strtok	wasmtime_app	3.263037958652842	1221115335	0
switch	base_native	1	52348389	0.05468251473931674
switch	wasmtime_app	1.2078291630134523	59194113.5	20.078362232344293
switch2	base_native	1	1452685587	0
switch2	wasmtime_app	0.20104969096339861	268588600	13.928975636550048
xblabla20	base_native	1	3033352	0.3281154650043005
xblabla20	wasmtime_app	4.365344078713416	9733669.5	84.11420871365502
xchacha20	base_native	1	4181974.5	0.34026132648676316
xchacha20	wasmtime_app	2.6468254889962113	10087513	28.322588122856118
