Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	3034607.5	45.694378012052226
ackermann	wasmtime_app	2.364221648173341	8229659	6.261557637248027
base64	base_native	1	265892978	1.1493048408212914
base64	wasmtime_app	1.3438929845200875	355070920.5	1.8554235090022948
ctype	base_native	1	659443952	1.18059832532864
ctype	wasmtime_app	1.45586246274346	960059696	0
ed25519	base_native	1	1433515087	0
ed25519	wasmtime_app	4.706561640114779	6746927119	0
fib2	base_native	1	6956336277	0
fib2	wasmtime_app	1.5430405076146092	10733908660	0
gimli	base_native	1	4134319.5	0.22557973319389157
gimli	wasmtime_app	2.3012535459068153	9364309.5	5.065706688740347
heapsort	base_native	1	1076265326	0
heapsort	wasmtime_app	1.1338710822687974	1220346130	0
keccak	base_native	1	7478942	0.1078744024601238
keccak	wasmtime_app	3.048527218576927	21185634.5	22.056541408670636
matrix	base_native	1	377887762.5	0.0027647105116380263
matrix	wasmtime_app	1.4133578207629838	534090624.5	1.060170263357523
matrix2	base_native	1	194280316.5	0.017265914874981823
matrix2	wasmtime_app	1.3398092103363288	257848843	1.6605674936152293
memmove	base_native	1	47347896	0.10228889223911637
memmove	wasmtime_app	11.01207139106505	521518491	1.347848782129659
minicsv	base_native	1	724611898	0
minicsv	wasmtime_app	1.5224466394284903	1103182949	0
nestedloop	base_native	1	1569596	1.0686575626222579
nestedloop	wasmtime_app	3.992940350205111	6164723	4.681314380193872
nestedloop2	base_native	1	1583570	1.0450245806443361
nestedloop2	wasmtime_app	3.964199671916862	6163860.5	4.031798551858746
nestedloop3	base_native	1	2082628	1.0483100023498961
nestedloop3	wasmtime_app	3.27804084876896	6713980	5.523350357331156
random	base_native	1	577607817.5	0.005738186906474312
random	wasmtime_app	0.5034111344358089	290572893	0.16201123477072277
random2	base_native	1	577790636	0.04887437780286595
random2	wasmtime_app	0.5033618180686473	290640739	0.17923522546287435
ratelimit	base_native	1	25919083	0.05465226599215839
ratelimit	wasmtime_app	1.5066788374658355	38336416	5.844919151006222
seqhash	base_native	1	7104227589	0
seqhash	wasmtime_app	1.3615658626952245	9672873766	0
sieve	base_native	1	569152395.5	0.0012422614331391827
sieve	wasmtime_app	1.3483829587079372	767435391	0
strcat	base_native	1	65843047	0.06302671241637742
strcat	wasmtime_app	5.356673201554519	352765047.5	1.0311225671860247
strcat2	base_native	1	2584811	0.6226549504718243
strcat2	wasmtime_app	3.623633469322814	8463934	30.992675943372127
strchr	base_native	1	155153712	0.024901349697515927
strchr	wasmtime_app	2.6202814922878273	406572563	1.515376785838874
strlen	base_native	1	51348583	1.1042915507525417
strlen	wasmtime_app	4.271436582782724	217125408	1.9069081353410768
strtok	base_native	1	374201577	0.002437637369258458
strtok	wasmtime_app	3.265102287369569	1221806425	0
switch	base_native	1	52342099	0.055571618706574816
switch	wasmtime_app	1.2082605371184225	59214630	20.10663980312647
switch2	base_native	1	1453039515	0
switch2	wasmtime_app	0.20185735233314236	268666648	14.56253546603788
xblabla20	base_native	1	3042170	0.36732106197045605
xblabla20	wasmtime_app	4.3473162053579815	9734339	84.12301374487309
xchacha20	base_native	1	4188930	0.39914335456396405
xchacha20	wasmtime_app	2.643386203618717	10079957.5	28.94777365223207
