Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2891137.5	72.05010258095756
ackermann	wasmtime_app	2.4166887148890472	8697105.5	13.850159879961767
base64	base_native	1	250074778	0.8600533979126818
base64	wasmtime_app	1.4145257501368755	355087390.5	1.8485516910835322
ctype	base_native	1	654857848	0.08201778872366673
ctype	wasmtime_app	1.493814242262849	978235980	0
ed25519	base_native	1	1433227814	0
ed25519	wasmtime_app	4.709006645750178	6749079301	0
fib2	base_native	1	6956144386	0
fib2	wasmtime_app	1.534917570067816	10677108238	0
gimli	base_native	1	4148531	0.3063819859544869
gimli	wasmtime_app	2.283950945230999	9344582	4.6567329502727315
heapsort	base_native	1	1076503312	0
heapsort	wasmtime_app	1.133620099814426	1220345792	0
keccak	base_native	1	7492378.5	0.1468231841283267
keccak	wasmtime_app	3.0539375931276913	21310306.5	21.826871589847833
matrix	base_native	1	377889122	0.0005520045121860679
matrix	wasmtime_app	1.4123438620707371	533709382	1.0528988633174081
matrix2	base_native	1	194280764	0.010591496994166326
matrix2	wasmtime_app	1.3394578339898506	257685374	1.6997616708836965
memmove	base_native	1	47348867	0.03491394948042414
memmove	wasmtime_app	10.991958842563106	520420581	1.3416804254241235
minicsv	base_native	1	741617857	0
minicsv	wasmtime_app	1.4917591985652525	1106315260	0
nestedloop	base_native	1	1588245	1.4198269159440546
nestedloop	wasmtime_app	3.968830556780176	6216717.5	4.765207177958754
nestedloop2	base_native	1	1601219	2.223951131079368
nestedloop2	wasmtime_app	3.9355957420795775	6207168.5	4.178377994667286
nestedloop3	base_native	1	2097527	0.7401984997412475
nestedloop3	wasmtime_app	3.2850135061706704	6757812.5	5.664316968992948
random	base_native	1	577603136.5	0.004162187137562649
random	wasmtime_app	0.5033141280388459	290447309	0.16437330193765895
random2	base_native	1	577659809.5	0.017412048135552426
random2	wasmtime_app	0.5033018936381448	290466108	0.1753122807980337
ratelimit	base_native	1	25908418.5	0.08055614314991677
ratelimit	wasmtime_app	1.5082404166575538	38366099	5.847953054719465
seqhash	base_native	1	7125059063	0
seqhash	wasmtime_app	1.3642785019815913	9720564905	0
sieve	base_native	1	569223425.5	0.0007514253152249136
sieve	wasmtime_app	1.3479846517665848	767304441	0
strcat	base_native	1	65855216.5	0.06427702068103824
strcat	wasmtime_app	5.31331796912923	349978298	1.1046545439821862
strcat2	base_native	1	2592410	0.557177916624444
strcat2	wasmtime_app	3.6258119228266903	8484692	30.93854095018295
strchr	base_native	1	155086153	0.07969102656092981
strchr	wasmtime_app	2.6225048817592818	406741716	1.535675977400651
strlen	base_native	1	47489062.5	0.7618299298251191
strlen	wasmtime_app	4.60952979185556	217074711.5	1.8990064973929273
strtok	base_native	1	374263546.5	0.00548831033072253
strtok	wasmtime_app	3.262573898577643	1221062478	0
switch	base_native	1	52371681.5	0.030989814593803375
switch	wasmtime_app	1.208076719625097	59250692	20.138617349038803
switch2	base_native	1	1452713192	0
switch2	wasmtime_app	0.20109515900460917	268602494	13.968130850352999
xblabla20	base_native	1	3052944	0.26008236409357977
xblabla20	wasmtime_app	4.360773398863363	9778982.5	83.83762496830172
xchacha20	base_native	1	4189767.5	0.24159241126358685
xchacha20	wasmtime_app	2.6603347056647455	10138537.5	28.036019552523772
