Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2833460.5	41.94370130715676
ackermann	wasmtime_app	2.9102730155289893	9246785	13.143886099289972
base64	base_native	1	249494454	0.012605116407559765
base64	wasmtime_app	1.4620659356891594	364800076	2.4728030708433204
ctype	base_native	1	653706170	0.0022713305874648734
ctype	wasmtime_app	1.4990950047174865	979967654	0
ed25519	base_native	1	1433246753	0
ed25519	wasmtime_app	4.713015965925583	6754914830	0
fib2	base_native	1	6956305528	0
fib2	wasmtime_app	1.5374513724205128	10694981481	0
gimli	base_native	1	4137256	0.2835506050341864
gimli	wasmtime_app	2.297716119782513	9361627.5	4.919619693673388
heapsort	base_native	1	1076915787	0
heapsort	wasmtime_app	1.133270343635514	1220436724	0
keccak	base_native	1	7474593.5	0.3074176424511425
keccak	wasmtime_app	3.0593905902400684	21361258.5	21.806487137079703
matrix	base_native	1	377898047	0.0029328523331368117
matrix	wasmtime_app	1.4125691194694108	533807111.5	1.1513790315428276
matrix2	base_native	1	194256690	0.012988849872662397
matrix2	wasmtime_app	1.3395097811433931	257692599	1.7038551301269114
memmove	base_native	1	47335175	0.04134719779504246
memmove	wasmtime_app	10.985143393713592	520036657.5	1.3920739576076493
minicsv	base_native	1	733134554	0
minicsv	wasmtime_app	1.5031983896915053	1102046681	0
nestedloop	base_native	1	1576638	1.1065790687910118
nestedloop	wasmtime_app	4.002981225942382	6189872	4.913966165043206
nestedloop2	base_native	1	1576413	0.9445278558630356
nestedloop2	wasmtime_app	4.0184790173103595	6197133.5	5.659932146623368
nestedloop3	base_native	1	2076727	0.8190241338840865
nestedloop3	wasmtime_app	3.3015992087295167	6732936	5.613074755139981
random	base_native	1	577687656.5	0.02058976882150722
random	wasmtime_app	0.5031257226917513	290386695	0.1778642636250391
random2	base_native	1	577674245	0.0003182550800901681
random2	wasmtime_app	0.5032350449805265	290396745	0.18923093521321352
ratelimit	base_native	1	25922221	0.046290543926920544
ratelimit	wasmtime_app	1.5045723804985145	38277133	5.865637287010171
seqhash	base_native	1	7113940057	0
seqhash	wasmtime_app	1.3634750183838946	9699679550	0
sieve	base_native	1	569235932	0.013604362639213772
sieve	wasmtime_app	1.3483274963042917	767516459	0
strcat	base_native	1	65852410	0.04587547112920976
strcat	wasmtime_app	5.355425657477808	352696576.5	1.0116009503856578
strcat2	base_native	1	2597315	0.42727562911626116
strcat2	wasmtime_app	3.6211625237117904	8477923	31.023140147448924
strchr	base_native	1	154565821	0.10018971589254155
strchr	wasmtime_app	2.632376073535161	406730284	1.547164829439004
strlen	base_native	1	48068648	0.6289845721352489
strlen	wasmtime_app	4.56645851961239	217080492.5	1.8986105159104905
strtok	base_native	1	374235057	0.011935796642256904
strtok	wasmtime_app	3.263341175971122	1221256671	0
switch	base_native	1	52338244.5	0.03994346673275366
switch	wasmtime_app	1.2065636045671582	59156761	20.05781775374755
switch2	base_native	1	1452675898	0
switch2	wasmtime_app	0.20086381924676222	268551067	13.803975998231747
xblabla20	base_native	1	3030134	0.3745439266445655
xblabla20	wasmtime_app	4.346871794158144	9693980.5	83.48839603703378
xchacha20	base_native	1	4173478	0.2757332828151365
xchacha20	wasmtime_app	2.649631242397399	10084618	28.318772370321422
