Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2931210	31.415626453230978
ackermann	wasmtime_app	2.83108679482933	8867296.5	19.545650557690628
base64	base_native	1	251362692	1.6717794828786223
base64	wasmtime_app	1.440476632398968	364166000.5	2.724077580365037
ctype	base_native	1	653713397	0.014085382256981626
ctype	wasmtime_app	1.497305988361135	978808984	0
ed25519	base_native	1	1433096192	0
ed25519	wasmtime_app	4.710884670329234	6751150882	0
fib2	base_native	1	6956011543	0
fib2	wasmtime_app	1.5353173740413386	10679685376	0
gimli	base_native	1	4151591.5	0.2919741200042932
gimli	wasmtime_app	2.294045171778379	9379927.5	4.970876802929977
heapsort	base_native	1	1076335315	0
heapsort	wasmtime_app	1.1338596829371894	1220413219	0
keccak	base_native	1	7483254.5	0.08036704758550085
keccak	wasmtime_app	3.05931005290779	21284449.5	21.9191538312609
matrix	base_native	1	377871654	0.002343601387888259
matrix	wasmtime_app	1.4123345131889675	533681178.5	1.1340451703860301
matrix2	base_native	1	194252559.5	0.01188147238698557
matrix2	wasmtime_app	1.3394475021495817	257688065	1.6936893922682392
memmove	base_native	1	47325068.5	0.03412753723931048
memmove	wasmtime_app	10.968515134244669	519124529	1.5497116790414218
minicsv	base_native	1	722295761	0
minicsv	wasmtime_app	1.521530266879138	1098994862	0
nestedloop	base_native	1	1561012	1.9387096642098491
nestedloop	wasmtime_app	3.9944696376910227	6178946	4.686588296253468
nestedloop2	base_native	1	1578186	1.7493862634245638
nestedloop2	wasmtime_app	3.971622259491317	6176058.5	4.351740278614489
nestedloop3	base_native	1	2076933	0.2844306833678656
nestedloop3	wasmtime_app	3.3080653063390404	6741562.5	5.58206337268892
random	base_native	1	577579733	0.004921273508420843
random	wasmtime_app	0.503288583477126	290421479	0.16683952337696628
random2	base_native	1	577630555	0.016537295068134523
random2	wasmtime_app	0.5032655950826562	290408379	0.1788538657041271
ratelimit	base_native	1	25927644	0.05656213870728563
ratelimit	wasmtime_app	1.504576245423823	38302632	5.879777162640653
seqhash	base_native	1	7117242944	0
seqhash	wasmtime_app	1.3600343457658988	9679694851	0
sieve	base_native	1	569268161.5	0.0004937478758359344
sieve	wasmtime_app	1.3472711963709567	766958597	0
strcat	base_native	1	65835267	0.06362631660180233
strcat	wasmtime_app	5.357381634849638	352752060.5	2.2213577156407744
strcat2	base_native	1	2583230	0.4331316931224971
strcat2	wasmtime_app	3.6453769959090514	8506647.5	30.93346139033378
strchr	base_native	1	154637370	0.06815122625037696
strchr	wasmtime_app	2.629741068555234	406553019.5	1.5419695481974183
strlen	base_native	1	50924004	1.147013553014451
strlen	wasmtime_app	4.31877924246895	217020645	1.8877589567739557
strtok	base_native	1	374212184	0.0041238364362329825
strtok	wasmtime_app	3.263210406318571	1221133093	0
switch	base_native	1	52314888.5	0.062154775890381986
switch	wasmtime_app	1.207982122221256	59198996.5	20.021801636017635
switch2	base_native	1	1452649195	0
switch2	wasmtime_app	0.20120200252477335	268574362	14.05258420189797
xblabla20	base_native	1	3031879	0.7990055610293835
xblabla20	wasmtime_app	4.349988525228561	9726577.5	84.01777678022572
xchacha20	base_native	1	4174577.5	0.3032255105253515
xchacha20	wasmtime_app	2.650913763666214	10085076	28.24927740123029
