Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2979352	30.758523928487733
ackermann	wasmtime_app	2.7161624221805303	8375062	18.14144658427047
base64	base_native	1	253382829	1.8747713828015302
base64	wasmtime_app	1.3885489639893316	355583757.5	2.0652169858273273
ctype	base_native	1	654197359	0.11637390319178445
ctype	wasmtime_app	1.4297354722277318	935329170	0
ed25519	base_native	1	1433142246	0
ed25519	wasmtime_app	4.700229369974207	6736097276	0
fib2	base_native	1	6955854531	0
fib2	wasmtime_app	1.5429475208500447	10732518504	0
gimli	base_native	1	4134285	0.2604651019666331
gimli	wasmtime_app	2.2878325086373312	9313571	4.836045585084356
heapsort	base_native	1	1076285733	0
heapsort	wasmtime_app	1.1338502709670313	1220346870	0
keccak	base_native	1	7484491	0.09537124975717688
keccak	wasmtime_app	3.0484461504773797	21233219.5	22.18468417141793
matrix	base_native	1	377815461.5	0.013497925141413248
matrix	wasmtime_app	1.4120627405821506	533499136	1.1028699370054398
matrix2	base_native	1	194245690.5	0.016986415250746748
matrix2	wasmtime_app	1.3392898763034289	257642753	1.6837704115812473
memmove	base_native	1	47319347.5	0.019823308722804876
memmove	wasmtime_app	10.97980820230165	519563889.5	1.4852017842902516
minicsv	base_native	1	722131488	0
minicsv	wasmtime_app	1.527809555923976	1103279388	0
nestedloop	base_native	1	1572308	0.7902461748025087
nestedloop	wasmtime_app	4.017961249122506	6204285	4.771414597505968
nestedloop2	base_native	1	1575733	0.8654427002732962
nestedloop2	wasmtime_app	4.020986773990849	6202285	5.339110367124546
nestedloop3	base_native	1	2075929	0.49747568008813137
nestedloop3	wasmtime_app	3.3092551485433837	6756716	5.434761645345415
random	base_native	1	577614393	0.011540390452572368
random	wasmtime_app	0.5032445206629976	290424018	0.16212073946533814
random2	base_native	1	577616430.5	0.011512805683024777
random2	wasmtime_app	0.5033269230499611	290407219	0.20186991649722208
ratelimit	base_native	1	25902750	0.11922086537460287
ratelimit	wasmtime_app	1.5081819907601728	38340186.5	5.892057432136009
seqhash	base_native	1	7097914280	0
seqhash	wasmtime_app	1.3667675387874647	9701198831	0
sieve	base_native	1	569158220.5	0.0013416385558527703
sieve	wasmtime_app	1.3479198039624907	767179637	0
strcat	base_native	1	65830825.5	0.038512527570362394
strcat	wasmtime_app	5.312154360000635	349734952	2.221103507218286
strcat2	base_native	1	2587400	0.5811176437804015
strcat2	wasmtime_app	3.6286759363304752	8481218	30.913508379098786
strchr	base_native	1	154585849	0.021456757970586566
strchr	wasmtime_app	2.6312442079930487	406758316	1.5390010906700042
strlen	base_native	1	48026668.5	0.7029083282070311
strlen	wasmtime_app	4.56264222894344	217115303	1.9017394596236417
strtok	base_native	1	374165223	0.0020927921713504165
strtok	wasmtime_app	3.263085562069995	1220933137	0
switch	base_native	1	52327332.5	0.04642739803012372
switch	wasmtime_app	1.208432430450323	59209802	20.160929005190248
switch2	base_native	1	1452613218	0
switch2	wasmtime_app	0.20191488417714967	268904139	14.510310567447021
xblabla20	base_native	1	3032724	0.21585733957426306
xblabla20	wasmtime_app	4.366289591987309	9709398.5	84.35407832311523
xchacha20	base_native	1	4176308	0.27087380768201025
xchacha20	wasmtime_app	2.6445171195297736	10068890.5	28.379655457757927
