Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2934462	51.62738205088201
ackermann	wasmtime_app	2.711789945941179	9298497.5	17.163670255346958
base64	base_native	1	257363579	1.8022319150468658
base64	wasmtime_app	1.3936072050801065	355079508.5	1.8583525963335301
ctype	base_native	1	653916269	0.041374719955884987
ctype	wasmtime_app	1.504313733475868	983695224	0
ed25519	base_native	1	1433065500	0
ed25519	wasmtime_app	4.715267996473295	6757287889	0
fib2	base_native	1	6956084993	0
fib2	wasmtime_app	1.5369366735395782	10691062130	0
gimli	base_native	1	4141729.5	0.16633473426445322
gimli	wasmtime_app	2.2999632693011636	9375542.5	4.972917346704331
heapsort	base_native	1	1076404341	0
heapsort	wasmtime_app	1.1338365970042108	1220466635	0
keccak	base_native	1	7485439	0.17668287628641913
keccak	wasmtime_app	3.061374705395817	21302113	22.152811305690644
matrix	base_native	1	377892536.5	0.007035093600550808
matrix	wasmtime_app	1.4123840746984428	533729400.5	1.1171137805910498
matrix2	base_native	1	194257381	0.01173873077038167
matrix2	wasmtime_app	1.3395212214156837	257656052	1.7144700677396782
memmove	base_native	1	47340309.5	0.04269114777815783
memmove	wasmtime_app	11.010250828934998	521274315	1.2847562786860183
minicsv	base_native	1	749445231	0
minicsv	wasmtime_app	1.4833769647404695	1111709792	0
nestedloop	base_native	1	1582417	0.8762722934749431
nestedloop	wasmtime_app	3.9962904315741365	6213655.5	4.935969455599977
nestedloop2	base_native	1	1584991	1.3048012082115767
nestedloop2	wasmtime_app	3.979099936771863	6223455	4.3907772196050825
nestedloop3	base_native	1	2085957	1.008053109776639
nestedloop3	wasmtime_app	3.293027341051787	6763206	5.616612907397181
random	base_native	1	577561499	0.003011525635580272
random	wasmtime_app	0.503279003482652	290385770	0.17444265822706354
random2	base_native	1	577632869	0.017577507818478444
random2	wasmtime_app	0.5032560153705519	290399794	0.17954032112736842
ratelimit	base_native	1	25915095.5	0.0906804361327423
ratelimit	wasmtime_app	1.5056828488223477	38318653.5	5.827013695228207
seqhash	base_native	1	7118979888	0
seqhash	wasmtime_app	1.3601436773717712	9682835484	0
sieve	base_native	1	569236754.5	0.0032015260658157115
sieve	wasmtime_app	1.3476141446168688	767111502	0
strcat	base_native	1	65852085	0.04120703426483554
strcat	wasmtime_app	5.35575096161171	352742166	2.2189922547483625
strcat2	base_native	1	2595323	0.4257794941678057
strcat2	wasmtime_app	3.6203691637210493	8489764.5	30.675918326226718
strchr	base_native	1	155017406	0.11223459645192783
strchr	wasmtime_app	2.623785031578386	406616321	1.5283974340487543
strlen	base_native	1	48000714.5	0.20225642766344673
strlen	wasmtime_app	4.56819097826157	217083988	1.9186111211360055
strtok	base_native	1	374205476	0.0029051043747852535
strtok	wasmtime_app	3.263014972554811	1221038071	0
switch	base_native	1	52320682.5	0.07386525816773479
switch	wasmtime_app	1.209063263361729	59217132	20.16386996462444
switch2	base_native	1	1452633466	0
switch2	wasmtime_app	0.20096283049560418	268594615	13.85572050050641
xblabla20	base_native	1	3045917	0.44227755445369904
xblabla20	wasmtime_app	4.348581375583909	9748517.5	83.71120382229115
xchacha20	base_native	1	4186089	0.25233744533357194
xchacha20	wasmtime_app	2.652857649709444	10128229	28.231011130628367
